edge_index,u_lon,u_lat,v_lon,v_lat
6982,-122.4691454,37.8009653,-122.4700045,37.8046358
6983,-122.4700045,37.8046358,-122.4711474,37.8046421
6984,-122.4463664,37.7087408,-122.4462462,37.7087408
6985,-122.4463664,37.7087408,-122.446538,37.7086729
6986,-122.4516411,37.7965514,-122.45166,37.7966397
6987,-122.4516411,37.7965514,-122.4515072,37.7961257
6988,-122.4516411,37.7965514,-122.4518282,37.796519
6989,-122.4517968,37.7953811,-122.4520364,37.7951445
6990,-122.4517968,37.7953811,-122.4518282,37.796519
6991,-122.3932061,37.7932459,-122.3926071,37.7937194
6992,-122.3932061,37.7932459,-122.3938776,37.7937717
6993,-122.4848906,37.7820218,-122.4859608,37.7819732
6994,-122.4848906,37.7820218,-122.4847561,37.7801617
6995,-122.4844774,37.7763062,-122.4855484,37.7762576
6996,-122.4844774,37.7763062,-122.4843425,37.7744399
6997,-122.4843425,37.7744399,-122.4854138,37.7743911
6998,-122.4810108,37.7324757,-122.4809164,37.7311606
6999,-122.4810108,37.7324757,-122.481149,37.7344006
7000,-122.4810108,37.7324757,-122.4818932,37.7324369
7001,-122.4824046,37.7465018,-122.4825359,37.7483675
7002,-122.4824046,37.7465018,-122.4834735,37.7464546
7003,-122.4821422,37.742772,-122.4820109,37.7409064
7004,-122.4821422,37.742772,-122.4832129,37.7427248
7005,-122.4820109,37.7409064,-122.4818799,37.7390442
7006,-122.4820109,37.7409064,-122.4830825,37.7408591
7007,-122.4818799,37.7390442,-122.4829524,37.7389973
7008,-122.4818799,37.7390442,-122.4812707,37.7378101
7009,-122.4824218,37.7667761,-122.4909019,37.7653866
7010,-122.4824218,37.7667761,-122.4782782,37.765927
7011,-122.483575,37.7632881,-122.483444,37.7614224
7012,-122.483575,37.7632881,-122.4837038,37.7651246
7013,-122.483575,37.7632881,-122.484644,37.7632409
7014,-122.483444,37.7614224,-122.4841569,37.761391
7015,-122.483444,37.7614224,-122.4841569,37.761391
7016,-122.483444,37.7614224,-122.483313,37.7595569
7017,-122.483444,37.7614224,-122.4827849,37.7614515
7018,-122.483444,37.7614224,-122.4827849,37.7614515
7019,-122.483313,37.7595569,-122.4843834,37.7595096
7020,-122.4830522,37.7558269,-122.4841222,37.7557797
7021,-122.4854346,37.7898384,-122.4857874,37.7895371
7022,-122.4857874,37.7895371,-122.486082,37.7894097
7023,-122.4857874,37.7895371,-122.4852317,37.7889431
7024,-122.456092,37.7275888,-122.4565582,37.7275882
7025,-122.4565582,37.7275882,-122.4574003,37.7275872
7026,-122.4565582,37.7275882,-122.4564385,37.7287071
7027,-122.4565582,37.7275882,-122.4565987,37.7258251
7028,-122.4574003,37.7275872,-122.4580769,37.7275864
7029,-122.4574003,37.7275872,-122.4575067,37.7291923
7030,-122.4574003,37.7275872,-122.4573413,37.7261877
7031,-122.4580769,37.7275864,-122.4581689,37.7276963
7032,-122.4580769,37.7275864,-122.4581691,37.7274833
7033,-122.459049,37.7275855,-122.4583657,37.7275862
7034,-122.459049,37.7275855,-122.458969,37.7291833
7035,-122.459049,37.7275855,-122.4590972,37.7261843
7036,-122.4607729,37.7276171,-122.4607658,37.7281222
7037,-122.4607729,37.7276171,-122.4619868,37.727467
7038,-122.5073163,37.7799889,-122.5072489,37.7790715
7039,-122.5073163,37.7799889,-122.5078539,37.7800184
7040,-122.5073163,37.7799889,-122.5062349,37.7799038
7041,-122.5073163,37.7799889,-122.5078463,37.7799136
7042,-122.5072489,37.7790715,-122.5083196,37.7790239
7043,-122.5072489,37.7790715,-122.506178,37.7791193
7044,-122.5070399,37.7762005,-122.506973,37.7752808
7045,-122.5070399,37.7762005,-122.50811,37.7761533
7046,-122.506973,37.7752808,-122.5068372,37.7734158
7047,-122.506973,37.7752808,-122.5080434,37.7752317
7048,-122.506973,37.7752808,-122.5059031,37.7753299
7049,-122.5068372,37.7734158,-122.5067012,37.7715472
7050,-122.5068372,37.7734158,-122.5079075,37.773367
7051,-122.5068372,37.7734158,-122.5057678,37.7734644
7052,-122.5060756,37.7622947,-122.5059449,37.7604288
7053,-122.5060756,37.7622947,-122.5062043,37.7641314
7054,-122.5060756,37.7622947,-122.507147,37.7622474
7055,-122.5060756,37.7622947,-122.505005,37.762342
7056,-122.5059449,37.7604288,-122.506734,37.7603939
7057,-122.5059449,37.7604288,-122.506734,37.7603939
7058,-122.5059449,37.7604288,-122.5058141,37.7585634
7059,-122.5059449,37.7604288,-122.5051737,37.7604628
7060,-122.5059449,37.7604288,-122.5051737,37.7604628
7061,-122.5058141,37.7585634,-122.5068861,37.758516
7062,-122.5058141,37.7585634,-122.5047437,37.7586106
7063,-122.5055529,37.754835,-122.5066247,37.7547878
7064,-122.5055529,37.754835,-122.5044826,37.7548822
7065,-122.5052913,37.7511024,-122.5063631,37.7510552
7066,-122.5052913,37.7511024,-122.5042213,37.7511496
7067,-122.5052913,37.7511024,-122.5051609,37.7492406
7068,-122.5051609,37.7492406,-122.5062325,37.7491933
7069,-122.5051609,37.7492406,-122.5040909,37.7492879
7070,-122.5051609,37.7492406,-122.50503,37.7473726
7071,-122.50503,37.7473726,-122.5061016,37.7473253
7072,-122.50503,37.7473726,-122.5039601,37.7474199
7073,-122.50503,37.7473726,-122.5048994,37.745509
7074,-122.5048994,37.745509,-122.5038296,37.7455563
7075,-122.5048994,37.745509,-122.505971,37.7454617
7076,-122.504638,37.741781,-122.5035686,37.7418282
7077,-122.504638,37.741781,-122.5035686,37.7418282
