lon,lat,v
113.5308671,22.19306932,1.058712236
113.5311251,22.18566082,1.164423649
113.5311251,22.18593521,1.409610902
113.5311251,22.1862096,1.629383263
113.5311251,22.18648399,1.823741434
113.5311251,22.18675838,2.006656602
113.5311251,22.18703277,2.213152773
113.5311251,22.18730716,2.442559663
113.5311251,22.18758154,2.740624641
113.5311251,22.18785593,3.124574465
113.5311251,22.18813032,3.46776743
113.5311251,22.18840471,3.777958127
113.5311251,22.1886791,4.040554028
113.5311251,22.18895349,4.274644282
113.5311251,22.18922788,4.450644759
113.5311251,22.18950227,4.593502624
113.5311251,22.18977666,4.674677584
113.5311251,22.19005105,4.695770905
113.5311251,22.19032543,4.677990024
113.5311251,22.19059982,4.594858669
113.5311251,22.19087421,4.446376841
113.5311251,22.1911486,4.239823801
113.5311251,22.19142299,3.989498555
113.5311251,22.19169738,3.670190733
113.5311251,22.19197177,3.313241308
113.5311251,22.19224616,2.930968859
113.5311251,22.19252055,2.486975233
113.5311251,22.19279493,1.981597632
113.5311251,22.19306932,1.571686656
113.5311251,22.19334371,1.21636452
113.5313832,22.18538643,1.135850315
113.5313832,22.18566082,1.406451057
113.5313832,22.18593521,1.65163831
113.5313832,22.1862096,1.871410671
113.5313832,22.18648399,2.113001904
113.5313832,22.18675838,2.352172961
113.5313832,22.18703277,2.615266266
113.5313832,22.18730716,2.955950203
113.5313832,22.18758154,3.369574359
113.5313832,22.18785593,3.787339421
113.5313832,22.18813032,4.163434629
113.5313832,22.18840471,4.477808659
113.5313832,22.1886791,4.730464317
113.5313832,22.18895349,4.953497571
113.5313832,22.18922788,5.158114185
113.5313832,22.18950227,5.301010323
113.5313832,22.18977666,5.411109798
113.5313832,22.19005105,5.458680093
113.5313832,22.19032543,5.440899212
113.5313832,22.19059982,5.357767857
113.5313832,22.19087421,5.237180419
113.5313832,22.1911486,5.055835644
113.5313832,22.19142299,4.805510397
113.5313832,22.19169738,4.486203277
113.5313832,22.19197177,4.097917089
113.5313832,22.19224616,3.643489646
113.5313832,22.19252055,3.19949672
113.5313832,22.19279493,2.69378402
113.5313832,22.19306932,2.12634944
113.5313832,22.19334371,1.717522299
113.5313832,22.1936181,1.368028648
113.5313832,22.19389249,1.055865065
113.5316413,22.18511204,1.059378984
113.5316413,22.18538643,1.355394267
113.5316413,22.18566082,1.625994658
113.5316413,22.18593521,1.871182262
113.5316413,22.1862096,2.157764968
113.5316413,22.18648399,2.429611964
113.5316413,22.18675838,2.705861114
113.5316413,22.18703277,3.082324345
113.5316413,22.18730716,3.50509542
113.5316413,22.18758154,3.994771336
113.5316413,22.18785593,4.432587021
113.5316413,22.18813032,4.808681527
113.5316413,22.18840471,5.133646236
113.5316413,22.1886791,5.422178026
113.5316413,22.18895349,5.645359343
113.5316413,22.18922788,5.825012973
113.5316413,22.18950227,6.003284216
113.5316413,22.18977666,6.116204282
113.5316413,22.19005105,6.163774577
113.5316413,22.19032543,6.147912521
113.5316413,22.19059982,6.10453009
113.5316413,22.19087421,5.992165084
113.5316413,22.1911486,5.81082101
113.5316413,22.19142299,5.560495062
113.5316413,22.19169738,5.241187942
113.5316413,22.19197177,4.852901753
113.5316413,22.19224616,4.395631586
113.5316413,22.19252055,3.869380947
113.5316413,22.19279493,3.35170398
113.5316413,22.19306932,2.784267996
113.5316413,22.19334371,2.227606334
113.5316413,22.1936181,1.8216523
113.5316413,22.19389249,1.474532188
113.5316413,22.19416688,1.112291738
113.5318994,22.18511204,1.25643983
113.5318994,22.18538643,1.552455112
113.5318994,22.18566082,1.823055854
113.5318994,22.18593521,2.140946145
113.5318994,22.1862096,2.445468027
113.5318994,22.18648399,2.717315374
113.5318994,22.18675838,3.119744963
113.5318994,22.18703277,3.531136246
113.5318994,22.18730716,4.085883351
113.5318994,22.18758154,4.585418109
113.5318994,22.18785593,5.023233092
113.5318994,22.18813032,5.419274309
113.5318994,22.18840471,5.773156574
113.5318994,22.1886791,6.061688364
113.5318994,22.18895349,6.308829528
113.5318994,22.18922788,6.505667577
113.5318994,22.18950227,6.6505654
113.5318994,22.18977666,6.763485466
113.5318994,22.19005105,6.816274774
113.5318994,22.19032543,6.841873517
113.5318994,22.19059982,6.798491086
113.5318994,22.19087421,6.68612608
113.5318994,22.1911486,6.504781305
113.5318994,22.19142299,6.254456058
113.5318994,22.19169738,5.935148236
113.5318994,22.19197177,5.546861346
113.5318994,22.19224616,5.089590477
113.5318994,22.19252055,4.56334054
113.5318994,22.19279493,3.968108729
113.5318994,22.19306932,3.387586428
113.5318994,22.19334371,2.758435581
113.5318994,22.1936181,2.290039436
113.5318994,22.19389249,1.874851469
113.5318994,22.19416688,1.512611721
113.5318994,22.19444127,1.143775426
113.5321575,22.18483766,1.109587746
113.5321575,22.18511204,1.431016517
113.5321575,22.18538643,1.727031799
113.5321575,22.18566082,2.062543681
113.5321575,22.18593521,2.399741151
113.5321575,22.1862096,2.704263033
113.5321575,22.18648399,3.078466669
113.5321575,22.18675838,3.517771726
113.5321575,22.18703277,4.060670555
113.5321575,22.18730716,4.621924386
113.5321575,22.18758154,5.121459846
113.5321575,22.18785593,5.581737205
113.5321575,22.18813032,6.000969242
113.5321575,22.18840471,6.354851506
113.5321575,22.1886791,6.670471411
113.5321575,22.18895349,6.936289931
113.5321575,22.18922788,7.13312798
113.5321575,22.18950227,7.260984155
113.5321575,22.18977666,7.354626573
113.5321575,22.19005105,7.449207189
113.5321575,22.19032543,7.474805932
113.5321575,22.19059982,7.431423502
113.5321575,22.19087421,7.319058495
113.5321575,22.1911486,7.13771372
113.5321575,22.19142299,6.887388474
113.5321575,22.19169738,6.568080651
113.5321575,22.19197177,6.179795165
113.5321575,22.19224616,5.722524295
113.5321575,22.19252055,5.196274359
113.5321575,22.19279493,4.601042547
113.5321575,22.19306932,3.936827458
113.5321575,22.19334371,3.307149677
113.5321575,22.1936181,2.724534583
113.5321575,22.19389249,2.302622298
113.5321575,22.19416688,1.926481536
113.5321575,22.19444127,1.562591342
113.5321575,22.19471566,1.158765566
113.5324156,22.18483766,1.261681678
113.5324156,22.18511204,1.583110449
113.5324156,22.18538643,1.922560031
113.5324156,22.18566082,2.292432738
113.5324156,22.18593521,2.629629857
113.5324156,22.1862096,2.966299548
113.5324156,22.18648399,3.42448508
113.5324156,22.18675838,3.919136455
